ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
720 NA 0.75478 5.39713 51.40486 5.40771 51.40639 216 37.992
3186 NA 4.22411 5.46631 51.44281 5.44559 51.47851 216 37.912
724 NA 2.83842 5.43154 51.35542 5.43717 51.33015 216 39.172
643 NA 5.17476 5.43469 51.4197 5.39334 51.45839 216 37.069
722 NA 2.66267 5.46329 51.42827 5.42731 51.43647 216 38.084
725 NA 1.48148 5.55244 51.47059 5.5411 51.45931 216 38.017
728 NA 7.22583 5.53911 51.34206 5.43717 51.33015 216 26.383
727 NA 1.13077 5.4895 51.42613 5.47713 51.43272 216 37.94
726 NA 1.19801 5.40486 51.42089 5.40465 51.43166 216 39.343
733 NA 1.61117 5.48043 51.44044 5.50354 51.44154 216 37.978
729 NA 0.98206 5.46329 51.42827 5.45102 51.4239 216 37.912
732 NA 3.05166 5.25089 51.34448 5.22173 51.32401 216 39.172
742 NA 0.83341 5.48043 51.44044 5.46869 51.44194 216 37.996
737 NA 2.55538 5.43717 51.33015 5.46893 51.34164 216 37.94
738 NA 6.19383 5.2212 51.36829 5.31002 51.3653 216 25.375
736 NA 7.90419 5.37814 51.43098 5.40992 51.49921 216 26.401
743 NA 7.22583 5.43717 51.33015 5.53911 51.34206 216 25.375
740 NA 6.98008 5.28733 51.43256 5.32552 51.37454 216 25.386
739 NA 6.15573 5.25072 51.37056 5.16338 51.36201 216 25.375
2907 NA 1.95182 5.4754 51.39252 5.46526 51.40888 216 39.172
746 NA 2.83842 5.43717 51.33015 5.43154 51.35542 216 37.912
744 NA 3.40246 5.39017 51.3938 5.3639 51.4196 216 37.978
734 NA 0.83341 5.46869 51.44194 5.48043 51.44044 216 39.256
745 NA 3.07265 5.44781 51.51349 5.40992 51.49921 216 39.172
2901 NA 2.77776 5.46526 51.40888 5.47713 51.43272 216 37.912
2902 NA 1.95182 5.46526 51.40888 5.4754 51.39252 216 37.912
2942 NA 3.13551 5.3639 51.4196 5.40465 51.43166 216 39.172
3188 NA 3.40246 5.3639 51.4196 5.39017 51.3938 216 39.239
2796 NA 0.75846 6.12495 53.10697 6.11755 53.11213 216 39.172
2790 NA 7.0411 6.09944 53.10339 5.99991 53.12381 216 25.386
2786 NA 13.65977 5.91885 52.95532 6.12104 52.9428 216 19.5
2794 NA 7.24662 6.06323 53.10966 6.16444 53.08663 216 25.392
2785 NA 2.13221 5.80007 53.18087 5.78263 53.16483 216 37.94
2792 NA 2.17069 6.12495 53.10697 6.09892 53.1186 216 39.337
2802 NA 0.69714 5.77688 53.20545 5.77187 53.19996 216 37.992
2791 NA 0.47815 5.80007 53.18087 5.79855 53.18507 216 37.912
2812 NA 0.72909 5.81937 53.20002 5.81541 53.20612 216 37.978
2801 NA 5.77667 5.90492 53.37026 5.83223 53.34192 216 25.354
2800 NA 3.60599 5.91107 53.15359 5.94104 53.12667 216 37.94
2793 NA 6.34511 6.17599 53.12918 6.26253 53.1525 216 26.439
2805 NA 3.36496 5.76711 53.19484 5.72025 53.20591 216 37.912
2809 NA 5.77795 5.91107 53.15359 5.84123 53.18417 216 26.387
2803 NA 3.47149 5.83841 53.20507 5.79855 53.18507 216 38.084
2804 NA 11.73931 6.06323 53.10966 6.20599 53.04851 216 18.03
2798 NA 0.93465 5.84697 53.19842 5.83841 53.20507 216 39.245
2811 NA 2.26903 5.79855 53.18507 5.76502 53.18824 216 39.403
2807 NA 3.36496 5.72025 53.20591 5.76711 53.19484 216 39.172
2810 NA 0.93465 5.83841 53.20507 5.84697 53.19842 216 37.986
2808 NA 3.60599 5.94104 53.12667 5.91107 53.15359 216 39.2
2815 NA 1.71447 5.81884 53.19085 5.81541 53.20612 216 37.992
3189 NA 9.80942 5.77975 53.32105 5.92065 53.29561 216 25.105
2820 NA 5.77795 5.84123 53.18417 5.91107 53.15359 216 25.378
2806 NA 3.83299 5.72539 53.16313 5.78263 53.16483 216 37.986
2818 NA 0.75846 6.11755 53.11213 6.12495 53.10697 216 37.912
2816 NA 2.10688 5.99245 53.18159 5.99252 53.20052 216 37
1346 NA 3.39785 5.75024 52.93831 5.78741 52.95901 216 37.912
2824 NA 12.03897 5.62526 53.15572 5.79855 53.18507 216 19.122
2799 NA 1.98763 5.76708 53.20854 5.77704 53.19171 216 37.999
2813 NA 1.71447 5.81541 53.20612 5.81884 53.19085 216 39.252
2827 NA 3.51791 6.17496 53.17539 6.12477 53.1849 216 37.912
2817 NA 0.72909 5.81541 53.20612 5.81937 53.20002 216 39.239
2822 NA 2.00851 6.01109 53.32458 5.98124 53.32707 216 37.912
1338 NA 0.47815 5.79855 53.18507 5.80007 53.18087 216 39.172
2826 NA 4.95085 5.96284 52.91365 6.00636 52.87777 216 38.101
2787 NA 5.38282 6.12678 53.37093 6.15287 53.32516 216 25.375
2795 NA 2.13221 5.78263 53.16483 5.80007 53.18087 216 39.2
2797 NA 3.83299 5.78263 53.16483 5.72539 53.16313 216 39.245
