ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
302 0 0.7531 4.46714 51.95816 4.47494 51.95341 1008 39.239
290 0 1.45017 4.4633 51.93191 4.47952 51.94023 1008 38.115
293 0 0.94628 4.43512 51.9195 4.44048 51.91167 1008 37.992
309 0 1.24818 4.47952 51.94023 4.46217 51.93693 1008 39.337
292 0 1.00436 4.51011 51.92837 4.4978 51.92351 1008 39.26
294 0 1.13391 4.47508 51.92421 4.47296 51.93432 1008 39.26
299 0 0.64959 4.45769 51.92011 4.44846 51.91886 1008 39.2
296 0 1.13391 4.47296 51.93432 4.47508 51.92421 1008 37.999
288 0 0.92746 4.43857 51.92435 4.43878 51.93268 1008 39.277
305 NA 1.60898 5.8458 51.83339 5.85841 51.82122 1008 39.239
300 0 1.46348 4.47296 51.93432 4.49407 51.93269 1008 37.992
308 0 2.67717 4.4663 51.94766 4.47508 51.92421 1008 37.94
306 0 0.92807 4.4633 51.93191 4.45495 51.92535 1008 37.986
184 0 1.60436 4.40989 51.94359 4.39995 51.95664 1008 38.003
314 0 0.85885 4.43031 51.94188 4.42446 51.93506 1008 38.077
312 0 3.07361 4.39995 51.95664 4.41436 51.93048 1008 39.2
298 0 0.87292 4.49667 51.92692 4.50885 51.9247 1008 37.996
310 0 1.24818 4.46217 51.93693 4.47952 51.94023 1008 38.077
301 0 0.52366 4.46808 51.92606 4.47508 51.92421 1008 38.115
313 0 1.60436 4.39995 51.95664 4.40989 51.94359 1008 39.263
303 0 1.87514 4.48231 51.90964 4.4978 51.92351 1008 39.172
210 0 3.16926 4.47351 51.92405 4.43157 51.91225 1008 37.912
208 0 0.87755 4.48863 51.91564 4.49993 51.91198 1008 38.077
307 0 0.2123 4.46808 51.92606 4.46979 51.92447 1008 37.94
316 0 3.33234 4.47508 51.92421 4.46652 51.89473 1008 39.263
3136 0 0.46593 4.46808 51.92606 4.47163 51.92249 1008 37.992
214 0 3.16926 4.43157 51.91225 4.47351 51.92405 1008 39.172
317 0 1.17871 4.47508 51.92421 4.4633 51.93191 1008 39.424
199 0 1.93231 4.47508 51.92421 4.47523 51.90684 1008 38.322
3138 0 8.50447 4.47508 51.92421 4.55119 51.86399 1008 26.39
320 0 0.35792 4.47508 51.92421 4.47324 51.9212 1008 39.364
2112 0 2.24925 5.27858 51.63433 5.28432 51.61443 1008 39.26
2114 0 3.44719 5.31868 51.6181 5.33229 51.58829 1008 39.2
2113 0 1.69799 5.361 51.55757 5.37336 51.57075 1008 38.017
2134 0 5.59149 5.18138 51.47985 5.14091 51.43641 1008 25.102
2115 0 6.55637 5.28397 51.70281 5.22497 51.74897 1008 26.362
