ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
1683 0.760855383665441 11.35112 3.83444 51.30403 3.67691 51.32987 748 26.387
1725 0.907660393997743 4.85417 3.93958 51.69292 3.90481 51.65501 748 37.94
1727 0.367546108766266 8.33731 3.56578 51.39715 3.49903 51.33493 748 26.362
1720 0 1.34067 3.61126 51.50016 3.63053 51.4994 748 37.94
1716 0.993252142604731 1.93069 4.05279 51.48264 4.05587 51.49988 748 37.912
22 1.16085782433509 2.1 3.88457 51.51091 3.88626 51.49207 748 38.003
1721 0.433214077608396 2.54608 3.85429 51.75754 3.84265 51.73582 748 37.912
1671 1.53960633905086 3.60718 3.83444 51.30403 3.8426 51.27201 748 39.228
4 0.605953439631429 6.47781 4.06191 51.28294 4.04447 51.34014 748 25.382
1673 NA 8.19616 3.43359 51.27372 3.49903 51.33493 748 26.393
1668 1.19680419395259 5.44332 3.76638 51.28008 3.83444 51.30403 748 25.354
1707 1.18341437822356 4.12116 3.79341 51.3307 3.83444 51.30403 748 37.996
5 0.0202549046118914 7.28187 3.56578 51.39715 3.46995 51.37089 748 26.113
3023 1.13472916034425 3.60718 3.8426 51.27201 3.83444 51.30403 748 37.968
1690 1.22629642151207 4.12116 3.83444 51.30403 3.79341 51.3307 748 39.256
9 0.495804377646428 5.17166 3.69174 51.70894 3.76005 51.72794 748 39.172
10 0.536204010179585 5.82199 4.06191 51.28294 3.98132 51.26936 748 25.392
1 0.136844402283608 6.28462 3.85429 51.75754 3.77521 51.72958 748 25.354
23 1.45825654261525 7.2393 3.88457 51.51091 3.9713 51.4748 748 25.382
1715 0 0.95559 3.79341 51.3307 3.79862 51.33865 748 37.912
12 0.983768996107639 4.63519 3.8426 51.27201 3.90884 51.27518 748 37.947
11 0.0754187365990974 6.28462 3.77521 51.72958 3.85429 51.75754 748 26.362
13 0.23937778808546 4.67253 3.80991 51.70045 3.86446 51.67566 748 39.2
19 0.723027464887604 5.82199 3.98132 51.26936 4.06191 51.28294 748 26.401
1724 0.365741738365011 0.95559 3.79862 51.33865 3.79341 51.3307 748 39.172
14 0.206455884514223 2.32653 4.35046 51.42548 4.31906 51.41826 748 39.172
15 0.723796985620836 8.51804 4.18228 51.76271 4.25499 51.70087 748 26.387
8 NA 1.10839 3.7646 51.73749 3.76005 51.72794 748 39.2
16 0.531891460297659 6.04264 4.43788 51.69198 4.45249 51.63842 748 26.362
27 0.532882058467922 8.66047 3.88457 51.51091 3.7892 51.56115 748 25.438
24 0.899147449675171 14.67175 3.88457 51.51091 3.69917 51.57439 748 18.14
25 2.38677473310552 6.75663 3.88457 51.51091 3.88072 51.45022 748 25.354
26 1.81010360073308 10.41502 3.88457 51.51091 3.81137 51.42921 748 17.975
2812 0 0.72909 5.81937 53.20002 5.81541 53.20612 748 37.978
2786 0 13.65977 5.91885 52.95532 6.12104 52.9428 748 19.5
2793 0 6.34511 6.17599 53.12918 6.26253 53.1525 748 26.439
2794 0 7.24662 6.06323 53.10966 6.16444 53.08663 748 25.392
2785 0 2.13221 5.80007 53.18087 5.78263 53.16483 748 37.94
2790 0 7.0411 6.09944 53.10339 5.99991 53.12381 748 25.386
2796 0 0.75846 6.12495 53.10697 6.11755 53.11213 748 39.172
2804 0 11.73931 6.06323 53.10966 6.20599 53.04851 748 18.03
2791 NA 0.47815 5.80007 53.18087 5.79855 53.18507 748 37.912
